name,country,sport,substance,webpage,date_of_birth,longitude,latitude
Fritz Aanes,Norway,Greco-Roman wrestling,"Norandrosterone, Noretiocholanolone",/wiki/Fritz_Aanes,1978-07-20,8.7876653,61.1529386
Tom Aage Aarnes,Norway,Ski jumping,Amphetamine,/wiki/Tom_Aage_Aarnes,1977-01-25,8.7876653,61.1529386
Mariya Abakumova,Russia,Athletics,Dehydrochlormethyltestosterone (Turinabol),/wiki/Mariya_Abakumova,1986-01-15,97.7453061,64.6863136
Sara Abbazova,Azerbaijan,Powerlifting,Nandrolone,/w/index.php?title=Sara_Abbazova&action=edit&redlink=1,,47.7872508,40.3936294
Damin Abbiate,Argentina,Weightlifting,Nandrolone,/w/index.php?title=Damin_Abbiate&action=edit&redlink=1,,-64.9672817,-34.9964963
Salwan Abbood,Egypt,Weightlifting,Stanozolol,/wiki/Salwan_Abbood,1991-09-26,29.2675469,26.2540493
Kalifa Abdalla,Libya,Weightlifting,Metandienone,/w/index.php?title=Kalifa_Abdalla&action=edit&redlink=1,,18.1236723,26.8234472
Walid Abdelaal,Egypt,Wrestling,Stanozolol,/w/index.php?title=Walid_Abdelaal&action=edit&redlink=1,,29.2675469,26.2540493
Ibrahim Abdelbaki,Egypt,Wrestling,Methylhexaneamine,/wiki/Ibrahim_Abdelbaki,1988-02-06,29.2675469,26.2540493
Yamil Abdellatif,Morocco,Weightlifting,Cannabis,/w/index.php?title=Yamil_Abdellatif&action=edit&redlink=1,,-7.3362482,31.1728205
Donia Abdelrahman,Egypt,Weightlifting,Hydroxystanozolol,/w/index.php?title=Donia_Abdelrahman&action=edit&redlink=1,,29.2675469,26.2540493
Djamolidine Abdoujaparov,Uzbekistan,Cycling,"Clenbuterol, bromantan",/wiki/Djamolidine_Abdoujaparov,1964-02-28,63.9528098,41.32373
Hashim Abdulkareem,Egypt,Weightlifting,Norandrosterone,/w/index.php?title=Hashim_Abdulkareem&action=edit&redlink=1,,29.2675469,26.2540493
Muminjon Abdullaev,Uzbekistan,Wrestling,Nandrolone,/wiki/Muminjon_Abdullaev,1989-12-24,63.9528098,41.32373
Inga Abitova,Russia,Athletics,Dehydrochlormethyltestosterone (Turinabol),/wiki/Inga_Abitova,,97.7453061,64.6863136
Alex Acco,Brazil,Beach volleyball,"Norandrosterone, Noretiocholanolone",/w/index.php?title=Alex_Acco&action=edit&redlink=1,,-53.2,-10.3333333
Olimbek Achildiev,Uzbekistan,Weightlifting,,/w/index.php?title=Olimbek_Achildiev&action=edit&redlink=1,,63.9528098,41.32373
Johan Ackermann,South Africa,Rugby union,Nandrolone,/wiki/Johan_Ackermann,1970-06-03,,
Ali Adams,United Kingdom,Boxing,Stanozolol,/wiki/Ali_Adams,1991-11-06,,
Phillip Adams,Australia,Shooting,Hydrochlorothiazide,/wiki/Phillip_Adams_(sport_shooter),1945-07-29,134.755,-24.7761086
Adham Khazeiq,Palestine,Weightlifting,"Nandrolone, Norandrosterone",/w/index.php?title=Adham_Khazeiq&action=edit&redlink=1,,,
Andre Agassi,United States,Tennis,Methamphetamine (self-admitted),/wiki/Andre_Agassi,1970-04-29,,
Uche Agu,Nigeria,Weightlifting,Norandrosterone,/w/index.php?title=Uche_Agu&action=edit&redlink=1,,7.9999721,9.6000359
Abdulmunem Ahmed,Iraq,Weightlifting,Methyltestosterone,/w/index.php?title=Abdulmunem_Ahmed&action=edit&redlink=1,,44.1749775,33.0955793
All Ahmed,Yemen,Weightlifting,"Metandienone, Norandrosterone, Anabolic steroids",/w/index.php?title=All_Ahmed&action=edit&redlink=1,,47.8915271,16.3471243
Naveed Ahmed Butt,Pakistan,Powerlifting,Methandienone metabolites,/w/index.php?title=Naveed_Ahmed_Butt&action=edit&redlink=1,,71.247499,30.3308401
Mirambek Ainagulov,Kazakhstan,Wrestling,Furosemide,/wiki/Mirambek_Ainagulov,1994-02-17,66.7780818,48.1012954
Lizandro Ajcú,Guatemala,Cycling,Erythropoietin (EPO),/w/index.php?title=Lizandro_Ajc%C3%BA&action=edit&redlink=1,,-90.345759,15.5855545
Karhan Akay,Turkey,Swimming,Methandienone,/w/index.php?title=Karhan_Akay&action=edit&redlink=1,,34.9249653,38.9597594
Ali Akbar,Pakistan,Weightlifting,,/w/index.php?title=Ali_Akbar_(weightlifter)&action=edit&redlink=1,,71.247499,30.3308401
Alibek Akbayev,Russia,Wrestling,,/w/index.php?title=Alibek_Akbayev&action=edit&redlink=1,,97.7453061,64.6863136
Albina Akhatova,Russia,Biathlon,NikethamideErythropoietin (EPO),/wiki/Albina_Akhatova,1976-11-13,97.7453061,64.6863136
Igor Akhlyustin,Russia,Swimming,,/w/index.php?title=Igor_Akhlyustin&action=edit&redlink=1,,97.7453061,64.6863136
Shoaib Akhtar,Pakistan,Cricket,Nandrolone,/wiki/Shoaib_Akhtar,1975-08-13,71.247499,30.3308401
Atrhouros Akritidis,Greece,Weightlifting,"Methyltrienolone, Buprenorphine",/w/index.php?title=Atrhouros_Akritidis&action=edit&redlink=1,,21.9877132,38.9953683
Mohammed Al-Aifuri,Iraq,Weightlifting,Metandienone,/w/index.php?title=Mohammed_Al-Aifuri&action=edit&redlink=1,,44.1749775,33.0955793
Abdul Rehman Al Bader,Kuwait,Swimming,Methylhexaneamine,/w/index.php?title=Abdul_Rehman_Al_Bader&action=edit&redlink=1,,47.4979476,29.2733964
Noor Alam,Pakistan,Cycling,Nandrolone,/w/index.php?title=Noor_Alam_(cyclist)&action=edit&redlink=1,,71.247499,30.3308401
Carlos Alberto de Jesus,Brazil,Football (soccer),"Hydrochlorothiazide, Tamoxifen",/wiki/Carlos_Alberto_de_Jesus,1984-12-11,-53.2,-10.3333333
Rolf Aldag,Germany,Cycling,Erythropoietin (EPO) (self-admitted),/wiki/Rolf_Aldag,1968-08-25,10.4478313,51.1638175
Darrell Alderman,United States,Drag racing,Cocaine,/w/index.php?title=Darrell_Alderman&action=edit&redlink=1,,,
Faisal Aldossri,Saudi Arabia,Tennis,,/w/index.php?title=Faisal_Aldossri&action=edit&redlink=1,,,
Denis Alekseyev,Russia,Athletics,Dehydrochlormethyltestosterone (Turinabol),/wiki/Denis_Alekseyev,1987-12-21,97.7453061,64.6863136
Evgeny Aleshin,Russia,Swimming,,/wiki/Evgeny_Aleshin,1979-05-04,97.7453061,64.6863136
Jose Alexis Valida,Spain,Volleyball,Cocaine,/w/index.php?title=Jose_Alexis_Valida&action=edit&redlink=1,,-4.8379791,39.3260685
Stephen Alfred,United States,Cycling (track),"NorandrosteroneTestosterone (May), hCG (June)  Refusal to submit to doping control",/w/index.php?title=Stephen_Alfred&action=edit&redlink=1,,,
Muhammad Al-Ghaferi,United Arab Emirates,Swimming,Methylhexaneamine,/w/index.php?title=Muhammad_Al-Ghaferi&action=edit&redlink=1,,,
Dilsher Ali,Pakistan,Cycling,Nandrolone,/w/index.php?title=Dilsher_Ali&action=edit&redlink=1,,71.247499,30.3308401
Hram Ali,Iraq,Weightlifting,Metandienone,/w/index.php?title=Hram_Ali&action=edit&redlink=1,,44.1749775,33.0955793
Javed Ali,Pakistan,Bodybuilding,Nandrolone,/w/index.php?title=Javed_Ali_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
Khalid Ali,Pakistan,Bodybuilding,,/w/index.php?title=Khalid_Ali_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
Sadam Ali,United States,Boxing,Cathine,/wiki/Sadam_Ali,1988-09-26,,
Amir Aliakbari,Iran,Wrestling,Anabolic steroids,/wiki/Amir_Aliakbari,1987-12-11,54.5643516,32.6475314
Waleed Ali Alghmdi,Saudi Arabia,Water polo,Cannabis,/w/index.php?title=Waleed_Ali_Alghmdi&action=edit&redlink=1,,,
Saeid Alihosseini,Iran,Weightlifting,Metandienone,/wiki/Saeid_Alihosseini,1988-02-02,54.5643516,32.6475314
Abdullah Ali Rami,Yemen,Weightlifting,"Metandienone, Ephedrine",/w/index.php?title=Abdullah_Ali_Rami&action=edit&redlink=1,,47.8915271,16.3471243
Mohsen Alizadeh,Iran,Water polo,Norandrosterone and metabolites,/w/index.php?title=Mohsen_Alizadeh&action=edit&redlink=1,,54.5643516,32.6475314
Yousri Yaseer Allaili,Saudi Arabia,Water polo,Methamphetamine,/w/index.php?title=Yousri_Yaseer_Allaili&action=edit&redlink=1,,,
David Allen,United Kingdom,Rugby League,Metabolite of cocaine,/wiki/David_Allen_(rugby_league),1985-09-15,,
A. J. Allmendinger,United States,Auto racing,Amphetamines,/wiki/A._J._Allmendinger,1981-12-16,,
Carlos Almanzar,Dominican Republic,Baseball,Steroids,/wiki/Carlos_Almanzar,1973-11-06,,
Alimohamad Almharous,Saudi Arabia,Weightlifting,Metandienone,/w/index.php?title=Alimohamad_Almharous&action=edit&redlink=1,,,
Bassam Almohammad Alshahin,Syria,Weightlifting,"Boldenone, Androsterone",/w/index.php?title=Bassam_Almohammad_Alshahin&action=edit&redlink=1,,39.0494106,34.6401861
Jasim Yusuf Al Nabhan,Bahamas,Beach volleyball,Methylhexaneamine,/w/index.php?title=Jasim_Yusuf_Al_Nabhan&action=edit&redlink=1,,-78.0000547,24.7736546
Mohamed Al Saedi,Iraq,Wrestling,Sibutramine,/w/index.php?title=Mohamed_Al_Saedi&action=edit&redlink=1,,44.1749775,33.0955793
Saoud AlShehhi,United Arab Emirates,Weightlifting,"Stanozolol, Hydroxystanozolol",/w/index.php?title=Saoud_AlShehhi&action=edit&redlink=1,,,
Thiago Alves,Brazil,Mixed Martial Arts,Spironolactone,/wiki/Thiago_Alves_(fighter),1983-10-03,-53.2,-10.3333333
Lyle Alzado,United States,American football,Anabolic steroids (self-admitted),/wiki/Lyle_Alzado,1949-04-03,,
Nehal Ameur,Egypt,Swimming,Methandienone,/w/index.php?title=Nehal_Ameur&action=edit&redlink=1,,29.2675469,26.2540493
Wafa Ammouri,Morocco,Weightlifting,,/w/index.php?title=Wafa_Ammouri&action=edit&redlink=1,,-7.3362482,31.1728205
Uwe Ampler,Germany,Cycling,Steroids,/wiki/Uwe_Ampler,1964-10-11,10.4478313,51.1638175
Chris Andersen,United States,Basketball,,/wiki/Chris_Andersen,1978-07-07,,
Kim Andersen,Denmark,Cycling,"Undisclosed (7 Sept), Norephedrine (14 Sept)Undisclosed (8 April), Undisclosed (16 April), Undisclosed (27 April) Testosterone Amineptine",/wiki/Kim_Andersen_(cyclist),1958-10-02,10.3333283,55.670249
Peter Riis Andersen,Denmark,Mountain biking,Erythropoietin (EPO),/wiki/Peter_Riis_Andersen,1980-07-25,10.3333283,55.670249
Darryl Anderson,United Kingdom,Motorcycle racing,,/w/index.php?title=Darryl_Anderson&action=edit&redlink=1,,,
Ijah Anderson,England,Football (soccer),Cocaine,/wiki/Ijah_Anderson,1975-12-30,,
Silva Andrea,Brazil,Weightlifting,Norandrosterone,/w/index.php?title=Silva_Andrea&action=edit&redlink=1,,-53.2,-10.3333333
Ekaterina Andreeva,Russia,Swimming,,/wiki/Ekaterina_Andreeva_(swimmer),1993-12-13,97.7453061,64.6863136
Frankie Andreu,United States,Cycling,Erythropoietin (EPO) (self-admitted),/wiki/Frankie_Andreu,1966-09-26,,
Joaquín Andújar,Dominican Republic,Baseball,Cocaine,/wiki/Joaqu%C3%ADn_And%C3%BAjar,1952-12-21,,
Jacques Anquetil,France,Cycling,Self-admitted,/wiki/Jacques_Anquetil,1934-01-08,1.8883335,46.603354
Henry Antchouet,Gabon,Football (soccer),Cocaine,/wiki/Henry_Antchouet,1979-08-02,11.6899699,-0.8999695
Kristina Antoniychuk,Ukraine,Tennis,Furosemide,/wiki/Kristina_Antoniychuk,1990-09-04,31.2718321,49.4871968
Toppo Anupdeo,India,Weightlifting,Methylhexamine,/w/index.php?title=Toppo_Anupdeo&action=edit&redlink=1,,78.6677428,22.3511148
Abdallah Anwar,United States,Boccia,Hydrochlorothiazide,/w/index.php?title=Abdallah_Anwar&action=edit&redlink=1,,,
Atif Anwar Ali,Pakistan,Bodybuilding,,/w/index.php?title=Atif_Anwar_Ali&action=edit&redlink=1,,71.247499,30.3308401
Adam Anzorov,Russia,Wrestling,,/w/index.php?title=Adam_Anzorov&action=edit&redlink=1,,97.7453061,64.6863136
Bijiya Arabam,India,Weightlifting,Metandienone,/w/index.php?title=Bijiya_Arabam&action=edit&redlink=1,,78.6677428,22.3511148
Anos Armak,Iran,Weightlifting,Metandienone,/w/index.php?title=Anos_Armak&action=edit&redlink=1,,54.5643516,32.6475314
Andrei Aramnau,Belarus,Weightlifting,Synthetic cannabinoid,/wiki/Andrei_Aramnau,1988-04-17,27.6971358,53.4250605
Ibrahim Arat,Turkey,Weightlifting,Hydroxystanozolol,/wiki/Ibrahim_Arat,1988-12-02,34.9249653,38.9597594
Lorena Araujo,Brazil,Swimming,Stanozolol,/w/index.php?title=Lorena_Araujo&action=edit&redlink=1,,-53.2,-10.3333333
Fouodfi Arcangeline,Cameroon,Weightlifting,N-bisdesmethyl sibutramine,/w/index.php?title=Fouodfi_Arcangeline&action=edit&redlink=1,,13.1535811,4.6125522
Alexandros Aresti,Cyprus,Swimming,Stanozolol,/wiki/Alexandros_Aresti,1983-03-11,33.1451285,34.9823018
Chris Armstrong,England,Football (soccer),Cannabis,/wiki/Chris_Armstrong_(footballer_born_1971),1971-06-19,,
Lance Armstrong,United States,Cycling,"Erythropoietin (EPO), Human Growth Hormone, Testosterone, Cortisone, Blood transfusions (self-admitted)",/wiki/Lance_Armstrong,1971-09-18,,
Marco Antonio Arriagada Quinchel,Chile,Cycling,Stanozolol,/wiki/Marco_Antonio_Arriagada_Quinchel,1975-10-30,-71.3187697,-31.7613365
Michael Arroyo,Ecuador,Football (soccer),cannabis,/wiki/Michael_Arroyo,1987-04-23,-79.3666965,-1.3397668
Silvia Artola,Nicaragua,Weightlifting,Methylhexaneamine,/w/index.php?title=Silvia_Artola&action=edit&redlink=1,,-85.2936911,12.6090157
Kasem Asaad,Syria,Weightlifting,"Methandriol, Methyltestosterone",/w/index.php?title=Kasem_Asaad&action=edit&redlink=1,,39.0494106,34.6401861
Man Asaad,Syria,Weightlifting,Metandienone,/wiki/Man_Asaad,1993-11-20,39.0494106,34.6401861
Yamba Asha,Angola,Football (soccer),,/wiki/Yamba_Asha,1976-07-31,17.5691241,-11.8775768
Mohammed Asif,Pakistan,Cricket,Nandrolone,/wiki/Mohammad_Asif_(cricketer),1982-12-20,71.247499,30.3308401
Hasan Aslam,Pakistan,Weightlifting,,/w/index.php?title=Hasan_Aslam&action=edit&redlink=1,,71.247499,30.3308401
Nuno Assis,Portugal,Football (soccer),Nandrolone,/wiki/Nuno_Assis,1977-11-25,-8.1353519,39.6621648
Igor Astarloa,Spain,Cycling,Biological passport violation,/wiki/Igor_Astarloa,1976-03-29,-4.8379791,39.3260685
Mikel Astarloza,Spain,Cycling,Erythropoietin (EPO),/wiki/Mikel_Astarloza,1979-11-17,-4.8379791,39.3260685
Ksenia Atamanskaya,Kazakhstan,Swimming,Fenoterol,/w/index.php?title=Ksenia_Atamanskaya&action=edit&redlink=1,,66.7780818,48.1012954
Anna Athanasiadou,Greece,Weightlifting,"Methyltrienolone, Buprenorphine",/w/index.php?title=Anna_Athanasiadou&action=edit&redlink=1,,21.9877132,38.9953683
Mikhail Audzeyev,Belarus,Weightlifting,"Boldenone, Androsterone",/w/index.php?title=Mikhail_Audzeyev&action=edit&redlink=1,,27.6971358,53.4250605
Floren Augier,France,Swimming,"Prednisone, Prednisolone",/w/index.php?title=Floren_Augier&action=edit&redlink=1,,1.8883335,46.603354
Arthur Auray,France,Water polo,Cocaine,/w/index.php?title=Arthur_Auray&action=edit&redlink=1,,1.8883335,46.603354
Michele Aureli,Italy,Water polo,Betamethasone,/w/index.php?title=Michele_Aureli&action=edit&redlink=1,,12.674297,42.6384261
Niklas Axelsson,Sweden,Cycling,"EPO  EPO, testosterone",/wiki/Niklas_Axelsson,1972-05-15,14.5208584,59.6749712
Murat Aygün,Netherlands,Kickboxing,Metandienone,/wiki/Murat_Ayg%C3%BCn,1988-12-13,5.541246849406163,52.24764975
Laura Azevedo,Brazil,Swimming,Anabolic steroids,/w/index.php?title=Laura_Azevedo&action=edit&redlink=1,,-53.2,-10.3333333
Tariq Aziz,Pakistan,Field hockey,Cannabis,/w/index.php?title=Tariq_Aziz_(2000s_field_hockey)&action=edit&redlink=1,,71.247499,30.3308401
Villalobos Azofeifa,Costa Rica,Cycling,GW501516,/w/index.php?title=Villalobos_Azofeifa&action=edit&redlink=1,,,
Ahmed Abdelwahed,Italy,Athletics,Meldonium,/wiki/Ahmed_Abdelwahed,1996-05-26,12.674297,42.6384261
Christopher Bach,France,Swimming,Prednisone,/w/index.php?title=Christopher_Bach&action=edit&redlink=1,,1.8883335,46.603354
Jonathan Bachini,Italy,Football (soccer),Cocaine,/wiki/Jonathan_Bachini,1975-06-05,12.674297,42.6384261
Nicklas Bäckström,Sweden,Ice hockey,Pseudoephedrine,/wiki/Nicklas_B%C3%A4ckstr%C3%B6m,1987-11-23,14.5208584,59.6749712
Cezar Badita,Romania,Swimming,Nandrolone,/wiki/Cezar_Badita,1979-04-12,24.6859225,45.9852129
Ron Baensch,Australia,Cycling,Ephedrine,/wiki/Ron_Baensch,1939-06-05,134.755,-24.7761086
Nathan Baggaley,Australia,Kayaking,"Stanozolol, Methandienone",/wiki/Nathan_Baggaley,1975-12-06,134.755,-24.7761086
Sarah Baham,United States,Swimming,Refusal to submit to doping test,/w/index.php?title=Sarah_Baham&action=edit&redlink=1,,,
Tzuche Bakam,Cameroon,Weightlifting,"Boldenone, androsterone",/w/index.php?title=Tzuche_Bakam&action=edit&redlink=1,,13.1535811,4.6125522
Erwin Bakker,Netherlands,Cycling,Erythropoietin (EPO),/w/index.php?title=Erwin_Bakker&action=edit&redlink=1,,5.541246849406163,52.24764975
Yesenia Baldera Peguero,Dominican Republic,Weightlifting,"Stanozolol, Hydroxystanozolol",/w/index.php?title=Yesenia_Baldera_Peguero&action=edit&redlink=1,,,
Singh Baljit,India,Weightlifting,,/w/index.php?title=Singh_Baljit&action=edit&redlink=1,,78.6677428,22.3511148
Daniela Balzan Leal,Venezuela,Weightlifting,Boldenone,/w/index.php?title=Daniela_Balzan_Leal&action=edit&redlink=1,,-66.1109318,8.0018709
Michael Banbula,United Kingdom,Boxing,Testosterone,/w/index.php?title=Michael_Banbula&action=edit&redlink=1,,,
Roberto Barbaro,Italy,Water polo,Norandrosterone,/w/index.php?title=Roberto_Barbaro&action=edit&redlink=1,,12.674297,42.6384261
Henrique Barbosa,Brazil,Swimming,Furosemide,/wiki/Henrique_Barbosa,1984-07-05,-53.2,-10.3333333
Josh Barnett,United States,Mixed martial arts,Boldenone,/wiki/Josh_Barnett,1977-11-10,,
Phil Baroni,United States,Mixed martial arts,"Boldenone, stanozolol metabolites",/wiki/Phil_Baroni,1976-04-16,,
Vargas Barrantes,Costa Rica,Cycling,GW501516,/w/index.php?title=Vargas_Barrantes&action=edit&redlink=1,,,
Ryan Barrett,United Kingdom,Boxing,Methylhexaneamine,/wiki/Ryan_Barrett,1982-12-27,,
Yarelys Barrios,Cuba,Athletics,acetazolamide,/wiki/Yarelys_Barrios,1983-07-12,-80.8328748,23.0131338
Kévin Barrois,France,Swimming,"Cannabis, Prednisone, Prednisolone",/w/index.php?title=K%C3%A9vin_Barrois&action=edit&redlink=1,,1.8883335,46.603354
Doug Barron,United States,Golf,Performance Enhancing Drugs,/w/index.php?title=Doug_Barron_(golfer)&action=edit&redlink=1,,,
Karapet Barseghyan,Armenia,Weightlifting,Stanozolol,/w/index.php?title=Karapet_Barseghyan&action=edit&redlink=1,,44.6736646,40.7696272
Julyana Bassi Kury,Brazil,Swimming,Stanozolol,/w/index.php?title=Julyana_Bassi_Kury&action=edit&redlink=1,,-53.2,-10.3333333
Ivan Basso,Italy,Cycling,Operación Puerto doping case,/wiki/Ivan_Basso,1977-11-26,12.674297,42.6384261
Marta Bastianelli,Italy,Cycling,Fenfluramine,/wiki/Marta_Bastianelli,1987-04-30,12.674297,42.6384261
Xavier Batista,Dominican Republic,Baseball,,/wiki/Xavier_Batista,1992-01-18,,
Vicky Batta,India,Weightlifting,Metandienone,/wiki/Vicky_Batta,,78.6677428,22.3511148
Grégory Baugé,France,Cycling,Drug-testing violations,/wiki/Gr%C3%A9gory_Baug%C3%A9,1985-01-31,1.8883335,46.603354
Alain Baxter,United Kingdom,Alpine skiing,Methamphetamine (inactive levorotary isomer – levmethamphetamine),/wiki/Alain_Baxter,1973-12-26,,
Fatih Baydar,Turkey,Weightlifting,Hydroxystanozolol,/wiki/Fatih_Baydar,1983-11-25,34.9249653,38.9597594
Jack Beaton,Australia,Swimming,Blood Doping,/wiki/Jack_Beaton,1914-01-02,134.755,-24.7761086
Karol Beck,Slovakia,Tennis,Clenbuterol,/wiki/Karol_Beck,1982-04-03,19.4528646,48.7411522
Diane Becker,Brazil,Swimming,Stanozolol,/w/index.php?title=Diane_Becker&action=edit&redlink=1,,-53.2,-10.3333333
Rutker Beke,Belgium,Triathlon,EPO,/w/index.php?title=Rutker_Beke&action=edit&redlink=1,,4.6667145,50.6402809
Vitor Belfort,Brazil,Mixed martial arts,4-hydroxytestosterone,/wiki/Vitor_Belfort,1977-04-01,-53.2,-10.3333333
Joseph Belinga,Cameroon,Weightlifting,N-bisdesmethyl sibutramine,/w/index.php?title=Joseph_Belinga&action=edit&redlink=1,,13.1535811,4.6125522
C.G. Carmen Bellorin,Venezuela,Weightlifting,Metandienone,/w/index.php?title=C.G._Carmen_Bellorin&action=edit&redlink=1,,-66.1109318,8.0018709
Manuel Beltrán,Spain,Cycling,Erythropoietin (EPO),/wiki/Manuel_Beltr%C3%A1n,1971-05-28,-4.8379791,39.3260685
Barbara Benke,Brazil,Swimming,Isometheptene,/w/index.php?title=Barbara_Benke&action=edit&redlink=1,,-53.2,-10.3333333
Jamal Ben Saddik,Morocco,Kickboxing,,/wiki/Jamal_Ben_Saddik,1990-10-03,-7.3362482,31.1728205
Saido Berahino,Burundi,Football (soccer),MDMA,/wiki/Saido_Berahino,1993-08-04,29.9324519,-3.426449
Bryan Berard,United States,Ice hockey,19-norandrosterone,/wiki/Bryan_Berard,1977-03-05,,
Virginia Berasategui,Spain,Triathlon,Erythropoietin (EPO),/wiki/Virginia_Berasategui,1975-07-15,-4.8379791,39.3260685
Maxime Beretta,France,Diving,Cannabis,/w/index.php?title=Maxime_Beretta&action=edit&redlink=1,,1.8883335,46.603354
Elena Berezhnaya,Russia,Figure skating,Pseudoephedrine,/wiki/Elena_Berezhnaya,1977-10-11,97.7453061,64.6863136
Adam Bergman,United States,Cycling,Erythropoietin (EPO),/wiki/Adam_Bergman,,,
Lorenzo Bernucci,Italy,Cycling,Sibutramine,/wiki/Lorenzo_Bernucci,1979-09-15,12.674297,42.6384261
Dale Berra,United States,Baseball,Cocaine,/wiki/Dale_Berra,1956-12-13,,
Carlo Bertoncelli,Italy,Swimming,Finasteride,/w/index.php?title=Carlo_Bertoncelli&action=edit&redlink=1,,12.674297,42.6384261
Eugeni Berzin,Russia,Cycling,Blood doping,/wiki/Eugeni_Berzin,1970-06-03,97.7453061,64.6863136
Rafael Betancourt,Venezuela,Baseball,Anabolic steroids,/wiki/Rafael_Betancourt,1975-04-29,-66.1109318,8.0018709
Christina Bethani,Greece,Swimming,Acetazolamide,/w/index.php?title=Christina_Bethani&action=edit&redlink=1,,21.9877132,38.9953683
PJ Bevis,Australia,Baseball,,/wiki/PJ_Bevis,1980-07-28,134.755,-24.7761086
Muhammad Bhatti,Pakistan,Weightlifting,Metandienone,/w/index.php?title=Muhammad_Bhatti&action=edit&redlink=1,,71.247499,30.3308401
Ildara Bilyaletdinov,Russia,Wrestling,,/w/index.php?title=Ildara_Bilyaletdinov&action=edit&redlink=1,,97.7453061,64.6863136
Yusoff Binti,Morocco,Weightlifting,Drostnolone,/w/index.php?title=Yusoff_Binti&action=edit&redlink=1,,-7.3362482,31.1728205
Rod Bitz,Canada,Wheelchair rugby,Methylhexaneamine,/w/index.php?title=Rod_Bitz&action=edit&redlink=1,,-107.991707,61.0666922
Pierre Blanchard,France,Water polo,"Prednisone, Prednisolone",/wiki/Pierre_Blanchard,1945-01-14,1.8883335,46.603354
Yohan Blanchet,France,Water polo,Cannabis,/w/index.php?title=Yohan_Blanchet&action=edit&redlink=1,,1.8883335,46.603354
Alberto Blanco,Cuba,Weightlifting,Anabolic steroids,/wiki/Alberto_Blanco_(weightlifter),1950-02-17,-80.8328748,23.0131338
Manuele Blasi,Italy,Football (soccer),Nandrolone,/wiki/Manuele_Blasi,1980-08-17,12.674297,42.6384261
Aikaterini Bliamou,Greece,Swimming,Nandrolone,/wiki/Aikaterini_Bliamou,1982-10-15,21.9877132,38.9953683
Jamie Bloem,Australia,"Rugby league, rugby union",Nandrolone,/wiki/Jamie_Bloem,1971-05-26,134.755,-24.7761086
Nickolay Bocharov,Russia,Swimming,Nandrolone,/w/index.php?title=Nickolay_Bocharov&action=edit&redlink=1,,97.7453061,64.6863136
Mickael Bodegas,France,Water polo,Cannabis,/w/index.php?title=Mickael_Bodegas&action=edit&redlink=1,,1.8883335,46.603354
Alexander Bodyakin,Russia,Swimming,Furosemide,/w/index.php?title=Alexander_Bodyakin&action=edit&redlink=1,,97.7453061,64.6863136
Plamen Boev,Bulgaria,Weightlifting,Norandrosterone,/w/index.php?title=Plamen_Boev&action=edit&redlink=1,,25.4856617,42.6073975
Galabin Boevski,Bulgaria,Weightlifting,Tampering with test,/wiki/Galabin_Boevski,1974-12-19,25.4856617,42.6073975
Alex Bogomolov Jr.,United States,Tennis,Salbutamol,/wiki/Alex_Bogomolov_Jr.,1983-04-23,,
Peter Bol,Australia,Athletics,Erythropoietin (EPO) (later exonerated),/wiki/Peter_Bol_(runner),1994-02-22,134.755,-24.7761086
Udo Bölts,Germany,Cycling,Erythropoietin (EPO) (self-admitted),/wiki/Udo_B%C3%B6lts,1966-08-10,10.4478313,51.1638175
Barry Bonds,United States,Baseball,Amphetamines (first offender; not suspended per Major League Baseball collective bargaining agreement),/wiki/Barry_Bonds,1964-07-24,,
Stephan Bonnar,United States,Mixed martial arts,Boldenone,/wiki/Stephan_Bonnar,1977-04-04,,
Michael Boogerd,Netherlands,Cycling,"Blood doping, cortisone, EPO,",/wiki/Michael_Boogerd,1972-05-28,5.541246849406163,52.24764975
Tom Boonen,Belgium,Cycling,Cocaine,/wiki/Tom_Boonen,1980-10-15,4.6667145,50.6402809
Liliana Borbon,Mexico,Weightlifting,,/w/index.php?title=Liliana_Borbon&action=edit&redlink=1,,-102.0077097,23.6585116
Marco Borriello,Italy,Football (soccer),Prednisolone,/wiki/Marco_Borriello,1982-06-18,12.674297,42.6384261
Mark Bosnich,Australia,Football (soccer),Cocaine,/wiki/Mark_Bosnich,1972-01-13,134.755,-24.7761086
David Boston,United States,American football,Gamma-Hydroxybutyric acid,/wiki/David_Boston,1978-08-19,,
Ian Botham,United Kingdom,Cricket,Cannabis,/wiki/Ian_Botham,1955-11-24,,
Igor Bour,Moldova,Weightlifting,Metandienone,/wiki/Igor_Bour,1984-12-18,28.5670941,47.2879608
Djamel Bouras,France,Judo,Nandrolone,/wiki/Djamel_Bouras,1971-08-21,1.8883335,46.603354
Frederick Bousquet,France,Swimming,Heptaminol,/wiki/Frederick_Bousquet,1981-04-08,1.8883335,46.603354
Lee Bowyer,England,Football (soccer),Cannabis,/wiki/Lee_Bowyer,1977-01-03,,
Plezhanov Boyan,Belarus,Weightlifting,Metandienone,/w/index.php?title=Plezhanov_Boyan&action=edit&redlink=1,,27.6971358,53.4250605
Dmitry Boyko,Russia,Snowboarding,,/w/index.php?title=Dmitry_Boyko&action=edit&redlink=1,,97.7453061,64.6863136
