name,country,sport,substance,webpage,date_of_birth,longitude,latitude
Besarion Goshashvili,Georgia,Wrestling,Furosemide,/w/index.php?title=Besarion_Goshashvili&action=edit&redlink=1,,44.0287806,41.6808672
Anna Gostomelsky,Israel,Swimming,Prednisolone,/wiki/Anna_Gostomelsky,1981-06-09,34.8594762,30.8124247
Ólafur Gottskálksson,Iceland,Football (soccer),,/wiki/%C3%93lafur_Gottsk%C3%A1lksson,1968-03-12,-18.1059013,64.9841821
Lauren Goulart,Brazil,Swimming,Methylhexaneamine,/w/index.php?title=Lauren_Goulart&action=edit&redlink=1,,-53.2,-10.3333333
Royce Gracie,Brazil,Mixed martial arts,Nandrolone metabolite,/wiki/Royce_Gracie,1966-12-12,-53.2,-10.3333333
Sam Grammer,United States,Highland Games,,/w/index.php?title=Sam_Grammer&action=edit&redlink=1,,,
Johan Granath,Sweden,Speed skating,Unknown substance,/wiki/Johan_Granath,1950-03-04,14.5208584,59.6749712
Guy Greavette,Canada,Weightlifting,Anabolic steroids,/wiki/Guy_Greavette,1960-04-27,-107.991707,61.0666922
Robbie Green,United Kingdom,Darts,Cannabis,/wiki/Robbie_Green,1974-07-19,,
Elen Grigoryan,Armenia,Weightlifting,Methandienone,/wiki/Elen_Grigoryan,,44.6736646,40.7696272
Jason Grimsley,United States,Baseball,"Amphetamines, anabolic steroids, human growth hormone, (self-admitted)",/wiki/Jason_Grimsley,1967-08-07,,
Kevin Grubb,United States,Auto Racing,Refusal to submit to doping control,/wiki/Kevin_Grubb,1978-04-19,,
Firas Guachai,Tunisia,Swimming,Testosterone,/w/index.php?title=Firas_Guachai&action=edit&redlink=1,,9.400138,33.8439408
Pep Guardiola,Spain,Football (soccer),Nandrolone,/wiki/Pep_Guardiola,1971-01-18,-4.8379791,39.3260685
Elzo Guerra Aranoz,Chile,Weightlifting,Methandienone,/w/index.php?title=Elzo_Guerra_Aranoz&action=edit&redlink=1,,-71.3187697,-31.7613365
Melvin Guillard,United States,Mixed martial arts,Cocaine,/wiki/Melvin_Guillard,1983-03-30,,
Zafar Guliyev,Russia,Wrestling,Bromantan,/wiki/Zafar_Guliyev,,97.7453061,64.6863136
Fabrizio Guidi,Italy,Cycling,Erythropoietin (EPO),/wiki/Fabrizio_Guidi,1972-04-13,12.674297,42.6384261
Zahid Gulfam,Pakistan,Cycling,Nandrolone,/w/index.php?title=Zahid_Gulfam&action=edit&redlink=1,,71.247499,30.3308401
Ari Gunnarsson,Iceland,Swimming,19-Norandrosterone,/wiki/Ari_Gunnarsson,1983-11-15,-18.1059013,64.9841821
Mathias Gunthar,Sweden,Wrestling,Furosemide,/w/index.php?title=Mathias_Gunthar&action=edit&redlink=1,,14.5208584,59.6749712
Guo Tianxin,China,Weightlifting,Clenbuterol,/w/index.php?title=Guo_Tianxin&action=edit&redlink=1,,104.999927,35.000074
Carlos Gurpegi,Spain,Football (soccer),19-norandrosterone,/wiki/Carlos_Gurpegi,1980-08-19,-4.8379791,39.3260685
