,name,country,sport,substance,webpage,date_of_birth,longitude,latitude
401,Volha Dryla,Belarus,Weightlifting,stanozolol,/w/index.php?title=Volha_Dryla&action=edit&redlink=1,,27.6971358,53.4250605
402,Ioannis Drymonakos,Greece,Swimming,methyltrienolone,/wiki/Ioannis_Drymonakos,1984-01-18,21.9877132,38.9953683
403,Laurent Dufaux,Switzerland,Cycling,erythropoietin,/wiki/Laurent_Dufaux,1969-05-20,8.2319736,46.7985624
404,Christophe Dugarry,France,Football (soccer),nandrolone,/wiki/Christophe_Dugarry,1972-03-24,1.8883335,46.603354
405,Matt Dumontelle,Canada,Curling,methandienone,/wiki/Matt_Dumontelle,1984-11-28,-107.991707,61.0666922
406,Terry Dunstan,United Kingdom,Boxing,,/wiki/Terry_Dunstan,1968-10-28,,
407,Antony Dupuis,France,Tennis,salbutamol,/wiki/Antony_Dupuis,1973-02-24,1.8883335,46.603354
408,Jamie Durbin,United Kingdom,Rugby League,stanozolol,/wiki/Jamie_Durbin,1984-09-07,,
409,Johannes Dürr,Austria,Cross-country skiing,erythropoietin,/wiki/Johannes_D%C3%BCrr,1987-03-12,14.12456,47.59397
410,Myroslav Dykun,United Kingdom,Wrestling,methamphetamine,/wiki/Myroslav_Dykun,,,
411,Gamlet Dzhioyev,Russia,Wrestling,,/w/index.php?title=Gamlet_Dzhioyev&action=edit&redlink=1,,97.7453061,64.6863136
412,Alexander Dzyuba,Kazakhstan,Weightlifting,stanozolol,/w/index.php?title=Alexander_Dzyuba&action=edit&redlink=1,,66.7780818,48.1012954
413,Sandor Earl,Australia,Rugby league,"cjc-1295,somatropin,clebuterol,sarms,testosterone",/wiki/Sandor_Earl,1989-09-21,134.755,-24.7761086
414,Johannes Eder,Austria,Cross-country skiing,violation of blood doping rules,/wiki/Johannes_Eder,1979-10-19,14.12456,47.59397
415,Constantinos Efstathiou,Cyprus,Volleyball,pseudoephedrine,/w/index.php?title=Constantinos_Efstathiou&action=edit&redlink=1,,33.1451285,34.9823018
416,Aram Eidipour,Iran,Water polo,mdma,/w/index.php?title=Aram_Eidipour&action=edit&redlink=1,,54.5643516,32.6475314
417,Jean-Pierre Élissalde,France,Rugby union,amphetamines,/wiki/Jean-Pierre_%C3%89lissalde,1953-12-31,1.8883335,46.603354
418,Salameddin Eladhem,Libya,Weightlifting,metandienone,/w/index.php?title=Salameddin_Eladhem&action=edit&redlink=1,,18.1236723,26.8234472
419,Lafrik Elmehdi,Morocco,Weightlifting,cannabinoids,/w/index.php?title=Lafrik_Elmehdi&action=edit&redlink=1,,-7.3362482,31.1728205
420,Dina Ibrahim El Sayed,Egypt,Swimming,19-norandrosterone,/w/index.php?title=Dina_Ibrahim_El_Sayed&action=edit&redlink=1,,29.2675469,26.2540493
421,M. Amir Mahmoud Elsayed,Egypt,Weightlifting,,/w/index.php?title=M._Amir_Mahmoud_Elsayed&action=edit&redlink=1,,29.2675469,26.2540493
422,Ashrakat Abdel El Shehawy,Egypt,Swimming,dexamethasone,/w/index.php?title=Ashrakat_Abdel_El_Shehawy&action=edit&redlink=1,,29.2675469,26.2540493
423,Abu Emad Mohd,Jordan,Weightlifting,stanozolol,/w/index.php?title=Abu_Emad_Mohd&action=edit&redlink=1,,36.941628,31.1667049
424,Bilgin Emine,Turkey,Weightlifting,t/e 21.5,/w/index.php?title=Bilgin_Emine&action=edit&redlink=1,,34.9249653,38.9597594
425,Kornelia Ender,East Germany,Swimming,,/wiki/Kornelia_Ender,1958-10-25,,
426,Derek Eng Hao Lee,Singapore,Water polo,pseudoephedrine,/w/index.php?title=Derek_Eng_Hao_Lee&action=edit&redlink=1,,103.8194992,1.357107
427,Tomáš Enge,Czech Republic,Auto racing,cannabis,/wiki/Tom%C3%A1%C5%A1_Enge,1976-09-11,,
428,Ludmila Engquist,Sweden,Bobsledding,,/wiki/Ludmila_Engquist,1964-04-21,14.5208584,59.6749712
429,Sébastien Enjolras,France,Auto racing,cannabis,/wiki/S%C3%A9bastien_Enjolras,1976-04-04,1.8883335,46.603354
430,Sara Errani,Italy,Tennis,letrozole,/wiki/Sara_Errani,1987-04-29,12.674297,42.6384261
431,Nima Esfandari,Iran,Volleyball,norandrosterone,/w/index.php?title=Nima_Esfandari&action=edit&redlink=1,,54.5643516,32.6475314
432,Essendon Football Club (34 players),Australia,Australian rules football,thymosin beta-4,/wiki/Essendon_Football_Club,1872,134.755,-24.7761086
433,Ariana Evangelista,Philippines,Cycling,erythropoietin,/w/index.php?title=Ariana_Evangelista&action=edit&redlink=1,,122.7312101,12.7503486
434,Dan Evans,United Kingdom,Tennis,cocaine,/wiki/Dan_Evans_(tennis),1990-05-23,,
435,Laurie Evans,England,Cricket,,/wiki/Laurie_Evans_(cricketer),1987-10-12,,
436,Jean-Jacques Eydelie,France,Football (soccer),,/wiki/Jean-Jacques_Eydelie,1966-02-03,1.8883335,46.603354
437,Saad Faeaz,Iraq,Bodybuilding,nandrolone,/w/index.php?title=Saad_Faeaz&action=edit&redlink=1,,44.1749775,33.0955793
438,Thomas Fagerli,Norway,Water polo,cannabis,/w/index.php?title=Thomas_Fagerli&action=edit&redlink=1,,8.7876653,61.1529386
439,Kieren Fallon,Ireland,Horse racing,,/wiki/Kieren_Fallon,1965-02-22,-7.9794599,52.865196
440,Robert Farah,Colombia,Tennis,boldenone,/wiki/Robert_Farah_(tennis),1987-01-20,-72.9088133,4.099917
441,Leuzkis Farias,Venezuela,Weightlifting,stanozolol,/w/index.php?title=Leuzkis_Farias&action=edit&redlink=1,,-66.1109318,8.0018709
442,Alexander Farnell,Canada,Swimming,cannabis,/w/index.php?title=Alexander_Farnell&action=edit&redlink=1,,-107.991707,61.0666922
443,John Farnell,Canada,Water polo,cannabis,/w/index.php?title=John_Farnell&action=edit&redlink=1,,-107.991707,61.0666922
444,Svetlana Fedorova,Russia,Rowing,,/w/index.php?title=Svetlana_Fedorova&action=edit&redlink=1,,97.7453061,64.6863136
445,Tiro Feras,Syria,Weightlifting,clenbuterol,/w/index.php?title=Tiro_Feras&action=edit&redlink=1,,39.0494106,34.6401861
446,Rio Ferdinand,England,Football (soccer),missed test,/wiki/Rio_Ferdinand,1978-11-07,,
447,Daniel Fernandes,Portugal,Football (soccer),dextroamphetamine,/wiki/Daniel_Fernandes_(footballer),1983-09-25,-8.1353519,39.6621648
448,Alexandre Batista Ferreira,Portugal,Volleyball,cannabinoids,/w/index.php?title=Alexandre_Batista_Ferreira&action=edit&redlink=1,,-8.1353519,39.6621648
449,Marco Fertonani,Italy,Cycling,testosterone,/wiki/Marco_Fertonani,1976-07-08,12.674297,42.6384261
450,Mike Fibbens,United Kingdom,Swimming,cocaine,/wiki/Mike_Fibbens,1968-05-31,,
451,Laurent Fignon,France,Cycling,amphetamine,/wiki/Laurent_Fignon,1960-08-12,1.8883335,46.603354
452,Aaron Fike,United States,Auto Racing,heroin,/wiki/Aaron_Fike,1982-11-24,,
453,Mehmed Fikretov,Bulgaria,Weightlifting,steroids,/wiki/Mehmed_Fikretov,1986-11-18,25.4856617,42.6073975
454,Ivailo Filev,Bulgaria,Weightlifting,steroids,/w/index.php?title=Ivailo_Filev&action=edit&redlink=1,,25.4856617,42.6073975
455,Mirko “Cro Cop” Filipović,Croatia,Mixed martial arts,human growth hormone,/wiki/Mirko_Cro_Cop,1974-09-10,15.6575209,45.3658443
456,Nedim Fisic,Bosnia and Herzegovina,Weightlifting,methandienone,/w/index.php?title=Nedim_Fisic&action=edit&redlink=1,,,
457,Gregoire Fischer,France,Water polo,cannabis,/w/index.php?title=Gregoire_Fischer&action=edit&redlink=1,,1.8883335,46.603354
458,Sveinung Fjeldstad,Norway,Football (soccer),,/wiki/Sveinung_Fjeldstad,1978-08-26,8.7876653,61.1529386
459,Stephen Fleming,New Zealand,Cricket,cannabis,/wiki/Stephen_Fleming,1973-04-01,,
460,Rachelle Fleurant,Canada,Bobsleigh,"clenbuterol,hydrochlorothiazide,oxandrolone",/w/index.php?title=Rachelle_Fleurant&action=edit&redlink=1,,-107.991707,61.0666922
461,Dmitriy Fofonov,Kazakhstan,Cycling,heptaminol,/wiki/Dmitriy_Fofonov,1976-08-15,66.7780818,48.1012954
462,Camilla Fogagnolo,Australia,Weightlifting,,/wiki/Camilla_Fogagnolo,1986-05-31,134.755,-24.7761086
463,Mabel Fonseca,Puerto Rico,Weightlifting,stanozolol,/wiki/Mabel_Fonseca,1972-05-08,,
464,Eugenia Fontana,Argentina,Weightlifting,nandrolone,/w/index.php?title=Eugenia_Fontana&action=edit&redlink=1,,-64.9672817,-34.9964963
465,Hermes Franca,Brazil,Mixed martial arts,drostanolone,/wiki/Hermes_Franca,1974-08-26,-53.2,-10.3333333
466,Samuel Francis,Qatar,Athletics,stanozolol,/wiki/Samuel_Francis_(athlete),1987-03-27,51.2295295,25.3336984
467,Ryan Franklin,United States,Baseball,steroids,/wiki/Ryan_Franklin,1973-03-05,,
468,Joe Frans,Canada,Curling,cocaine,/wiki/Joe_Frans,1975-07-01,-107.991707,61.0666922
469,Zdenek Frantisak,Czech Republic,Swimming,epehdrine,/w/index.php?title=Zdenek_Frantisak&action=edit&redlink=1,,,
470,Dario Frigo,Italy,Cycling,erythropoietin,/wiki/Dario_Frigo,1973-09-18,12.674297,42.6384261
471,William Frullani,Italy,Bobsleigh,methylhexanamine,/wiki/William_Frullani,1979-09-21,12.674297,42.6384261
472,Fu Bo,China,Swimming,clenbuterol,/w/index.php?title=Fu_Bo_(swimmer)&action=edit&redlink=1,,104.999927,35.000074
473,Fu Yong,China,Swimming,,/wiki/Fu_Yong,1978-01-04,104.999927,35.000074
474,Tyson Fury,United Kingdom,Boxing,cocaine,/wiki/Tyson_Fury,1988-08-12,,
475,Mohammed Gaber,Egypt,Weightlifting,,/w/index.php?title=Mohammed_Gaber&action=edit&redlink=1,,29.2675469,26.2540493
