,name,country,sport,substance,webpage,date_of_birth,longitude,latitude
0,Fritz Aanes,Norway,Greco-Roman wrestling,"norandrosterone,noretiocholanolone",/wiki/Fritz_Aanes,1978-07-20,8.7876653,61.1529386
1,Tom Aage Aarnes,Norway,Ski jumping,amphetamine,/wiki/Tom_Aage_Aarnes,1977-01-25,8.7876653,61.1529386
2,Mariya Abakumova,Russia,Athletics,dehydrochlormethyltestosterone,/wiki/Mariya_Abakumova,1986-01-15,97.7453061,64.6863136
3,Sara Abbazova,Azerbaijan,Powerlifting,nandrolone,/w/index.php?title=Sara_Abbazova&action=edit&redlink=1,,47.7872508,40.3936294
4,Damin Abbiate,Argentina,Weightlifting,nandrolone,/w/index.php?title=Damin_Abbiate&action=edit&redlink=1,,-64.9672817,-34.9964963
5,Salwan Abbood,Egypt,Weightlifting,stanozolol,/wiki/Salwan_Abbood,1991-09-26,29.2675469,26.2540493
6,Kalifa Abdalla,Libya,Weightlifting,metandienone,/w/index.php?title=Kalifa_Abdalla&action=edit&redlink=1,,18.1236723,26.8234472
7,Walid Abdelaal,Egypt,Wrestling,stanozolol,/w/index.php?title=Walid_Abdelaal&action=edit&redlink=1,,29.2675469,26.2540493
8,Ibrahim Abdelbaki,Egypt,Wrestling,methylhexaneamine,/wiki/Ibrahim_Abdelbaki,1988-02-06,29.2675469,26.2540493
9,Yamil Abdellatif,Morocco,Weightlifting,cannabis,/w/index.php?title=Yamil_Abdellatif&action=edit&redlink=1,,-7.3362482,31.1728205
10,Donia Abdelrahman,Egypt,Weightlifting,hydroxystanozolol,/w/index.php?title=Donia_Abdelrahman&action=edit&redlink=1,,29.2675469,26.2540493
11,Djamolidine Abdoujaparov,Uzbekistan,Cycling,"clenbuterol,bromantan",/wiki/Djamolidine_Abdoujaparov,1964-02-28,63.9528098,41.32373
12,Hashim Abdulkareem,Egypt,Weightlifting,norandrosterone,/w/index.php?title=Hashim_Abdulkareem&action=edit&redlink=1,,29.2675469,26.2540493
13,Muminjon Abdullaev,Uzbekistan,Wrestling,nandrolone,/wiki/Muminjon_Abdullaev,1989-12-24,63.9528098,41.32373
14,Inga Abitova,Russia,Athletics,dehydrochlormethyltestosterone,/wiki/Inga_Abitova,,97.7453061,64.6863136
15,Alex Acco,Brazil,Beach volleyball,"norandrosterone,noretiocholanolone",/w/index.php?title=Alex_Acco&action=edit&redlink=1,,-53.2,-10.3333333
16,Olimbek Achildiev,Uzbekistan,Weightlifting,,/w/index.php?title=Olimbek_Achildiev&action=edit&redlink=1,,63.9528098,41.32373
17,Johan Ackermann,South Africa,Rugby union,nandrolone,/wiki/Johan_Ackermann,1970-06-03,,
18,Ali Adams,United Kingdom,Boxing,stanozolol,/wiki/Ali_Adams,1991-11-06,,
19,Phillip Adams,Australia,Shooting,hydrochlorothiazide,/wiki/Phillip_Adams_(sport_shooter),1945-07-29,134.755,-24.7761086
20,Adham Khazeiq,Palestine,Weightlifting,"nandrolone,norandrosterone",/w/index.php?title=Adham_Khazeiq&action=edit&redlink=1,,,
21,Andre Agassi,United States,Tennis,methamphetamine,/wiki/Andre_Agassi,1970-04-29,,
22,Uche Agu,Nigeria,Weightlifting,norandrosterone,/w/index.php?title=Uche_Agu&action=edit&redlink=1,,7.9999721,9.6000359
23,Abdulmunem Ahmed,Iraq,Weightlifting,methyltestosterone,/w/index.php?title=Abdulmunem_Ahmed&action=edit&redlink=1,,44.1749775,33.0955793
24,All Ahmed,Yemen,Weightlifting,"metandienone,norandrosterone,anabolic steroids",/w/index.php?title=All_Ahmed&action=edit&redlink=1,,47.8915271,16.3471243
25,Naveed Ahmed Butt,Pakistan,Powerlifting,methandienone metabolites,/w/index.php?title=Naveed_Ahmed_Butt&action=edit&redlink=1,,71.247499,30.3308401
26,Mirambek Ainagulov,Kazakhstan,Wrestling,furosemide,/wiki/Mirambek_Ainagulov,1994-02-17,66.7780818,48.1012954
27,Lizandro Ajcú,Guatemala,Cycling,erythropoietin,/w/index.php?title=Lizandro_Ajc%C3%BA&action=edit&redlink=1,,-90.345759,15.5855545
28,Karhan Akay,Turkey,Swimming,methandienone,/w/index.php?title=Karhan_Akay&action=edit&redlink=1,,34.9249653,38.9597594
29,Ali Akbar,Pakistan,Weightlifting,,/w/index.php?title=Ali_Akbar_(weightlifter)&action=edit&redlink=1,,71.247499,30.3308401
30,Alibek Akbayev,Russia,Wrestling,,/w/index.php?title=Alibek_Akbayev&action=edit&redlink=1,,97.7453061,64.6863136
31,Albina Akhatova,Russia,Biathlon,nikethamideerythropoietin,/wiki/Albina_Akhatova,1976-11-13,97.7453061,64.6863136
32,Igor Akhlyustin,Russia,Swimming,,/w/index.php?title=Igor_Akhlyustin&action=edit&redlink=1,,97.7453061,64.6863136
33,Shoaib Akhtar,Pakistan,Cricket,nandrolone,/wiki/Shoaib_Akhtar,1975-08-13,71.247499,30.3308401
34,Atrhouros Akritidis,Greece,Weightlifting,"methyltrienolone,buprenorphine",/w/index.php?title=Atrhouros_Akritidis&action=edit&redlink=1,,21.9877132,38.9953683
35,Mohammed Al-Aifuri,Iraq,Weightlifting,metandienone,/w/index.php?title=Mohammed_Al-Aifuri&action=edit&redlink=1,,44.1749775,33.0955793
36,Abdul Rehman Al Bader,Kuwait,Swimming,methylhexaneamine,/w/index.php?title=Abdul_Rehman_Al_Bader&action=edit&redlink=1,,47.4979476,29.2733964
37,Noor Alam,Pakistan,Cycling,nandrolone,/w/index.php?title=Noor_Alam_(cyclist)&action=edit&redlink=1,,71.247499,30.3308401
38,Carlos Alberto de Jesus,Brazil,Football (soccer),"hydrochlorothiazide,tamoxifen",/wiki/Carlos_Alberto_de_Jesus,1984-12-11,-53.2,-10.3333333
39,Rolf Aldag,Germany,Cycling,erythropoietin,/wiki/Rolf_Aldag,1968-08-25,10.4478313,51.1638175
40,Darrell Alderman,United States,Drag racing,cocaine,/w/index.php?title=Darrell_Alderman&action=edit&redlink=1,,,
41,Faisal Aldossri,Saudi Arabia,Tennis,,/w/index.php?title=Faisal_Aldossri&action=edit&redlink=1,,,
42,Denis Alekseyev,Russia,Athletics,dehydrochlormethyltestosterone,/wiki/Denis_Alekseyev,1987-12-21,97.7453061,64.6863136
43,Evgeny Aleshin,Russia,Swimming,,/wiki/Evgeny_Aleshin,1979-05-04,97.7453061,64.6863136
44,Jose Alexis Valida,Spain,Volleyball,cocaine,/w/index.php?title=Jose_Alexis_Valida&action=edit&redlink=1,,-4.8379791,39.3260685
45,Stephen Alfred,United States,Cycling (track),"norandrosteronetestosterone,hcg   refusal to submit to doping control",/w/index.php?title=Stephen_Alfred&action=edit&redlink=1,,,
46,Muhammad Al-Ghaferi,United Arab Emirates,Swimming,methylhexaneamine,/w/index.php?title=Muhammad_Al-Ghaferi&action=edit&redlink=1,,,
47,Dilsher Ali,Pakistan,Cycling,nandrolone,/w/index.php?title=Dilsher_Ali&action=edit&redlink=1,,71.247499,30.3308401
48,Hram Ali,Iraq,Weightlifting,metandienone,/w/index.php?title=Hram_Ali&action=edit&redlink=1,,44.1749775,33.0955793
49,Javed Ali,Pakistan,Bodybuilding,nandrolone,/w/index.php?title=Javed_Ali_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
50,Khalid Ali,Pakistan,Bodybuilding,,/w/index.php?title=Khalid_Ali_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
51,Sadam Ali,United States,Boxing,cathine,/wiki/Sadam_Ali,1988-09-26,,
52,Amir Aliakbari,Iran,Wrestling,anabolic steroids,/wiki/Amir_Aliakbari,1987-12-11,54.5643516,32.6475314
53,Waleed Ali Alghmdi,Saudi Arabia,Water polo,cannabis,/w/index.php?title=Waleed_Ali_Alghmdi&action=edit&redlink=1,,,
54,Saeid Alihosseini,Iran,Weightlifting,metandienone,/wiki/Saeid_Alihosseini,1988-02-02,54.5643516,32.6475314
55,Abdullah Ali Rami,Yemen,Weightlifting,"metandienone,ephedrine",/w/index.php?title=Abdullah_Ali_Rami&action=edit&redlink=1,,47.8915271,16.3471243
56,Mohsen Alizadeh,Iran,Water polo,norandrosterone and metabolites,/w/index.php?title=Mohsen_Alizadeh&action=edit&redlink=1,,54.5643516,32.6475314
57,Yousri Yaseer Allaili,Saudi Arabia,Water polo,methamphetamine,/w/index.php?title=Yousri_Yaseer_Allaili&action=edit&redlink=1,,,
58,David Allen,United Kingdom,Rugby League,metabolite of cocaine,/wiki/David_Allen_(rugby_league),1985-09-15,,
59,A. J. Allmendinger,United States,Auto racing,amphetamines,/wiki/A._J._Allmendinger,1981-12-16,,
60,Carlos Almanzar,Dominican Republic,Baseball,steroids,/wiki/Carlos_Almanzar,1973-11-06,,
61,Alimohamad Almharous,Saudi Arabia,Weightlifting,metandienone,/w/index.php?title=Alimohamad_Almharous&action=edit&redlink=1,,,
62,Bassam Almohammad Alshahin,Syria,Weightlifting,"boldenone,androsterone",/w/index.php?title=Bassam_Almohammad_Alshahin&action=edit&redlink=1,,39.0494106,34.6401861
63,Jasim Yusuf Al Nabhan,Bahamas,Beach volleyball,methylhexaneamine,/w/index.php?title=Jasim_Yusuf_Al_Nabhan&action=edit&redlink=1,,-78.0000547,24.7736546
64,Mohamed Al Saedi,Iraq,Wrestling,sibutramine,/w/index.php?title=Mohamed_Al_Saedi&action=edit&redlink=1,,44.1749775,33.0955793
65,Saoud AlShehhi,United Arab Emirates,Weightlifting,"stanozolol,hydroxystanozolol",/w/index.php?title=Saoud_AlShehhi&action=edit&redlink=1,,,
66,Thiago Alves,Brazil,Mixed Martial Arts,spironolactone,/wiki/Thiago_Alves_(fighter),1983-10-03,-53.2,-10.3333333
67,Lyle Alzado,United States,American football,anabolic steroids,/wiki/Lyle_Alzado,1949-04-03,,
68,Nehal Ameur,Egypt,Swimming,methandienone,/w/index.php?title=Nehal_Ameur&action=edit&redlink=1,,29.2675469,26.2540493
69,Wafa Ammouri,Morocco,Weightlifting,,/w/index.php?title=Wafa_Ammouri&action=edit&redlink=1,,-7.3362482,31.1728205
70,Uwe Ampler,Germany,Cycling,steroids,/wiki/Uwe_Ampler,1964-10-11,10.4478313,51.1638175
71,Chris Andersen,United States,Basketball,,/wiki/Chris_Andersen,1978-07-07,,
72,Kim Andersen,Denmark,Cycling,"undisclosed,norephedrine undisclosed,undisclosed,undisclosed  testosterone amineptine",/wiki/Kim_Andersen_(cyclist),1958-10-02,10.3333283,55.670249
73,Peter Riis Andersen,Denmark,Mountain biking,erythropoietin,/wiki/Peter_Riis_Andersen,1980-07-25,10.3333283,55.670249
74,Darryl Anderson,United Kingdom,Motorcycle racing,,/w/index.php?title=Darryl_Anderson&action=edit&redlink=1,,,
75,Ijah Anderson,England,Football (soccer),cocaine,/wiki/Ijah_Anderson,1975-12-30,,
76,Silva Andrea,Brazil,Weightlifting,norandrosterone,/w/index.php?title=Silva_Andrea&action=edit&redlink=1,,-53.2,-10.3333333
77,Ekaterina Andreeva,Russia,Swimming,,/wiki/Ekaterina_Andreeva_(swimmer),1993-12-13,97.7453061,64.6863136
78,Frankie Andreu,United States,Cycling,erythropoietin,/wiki/Frankie_Andreu,1966-09-26,,
79,Joaquín Andújar,Dominican Republic,Baseball,cocaine,/wiki/Joaqu%C3%ADn_And%C3%BAjar,1952-12-21,,
80,Jacques Anquetil,France,Cycling,self-admitted,/wiki/Jacques_Anquetil,1934-01-08,1.8883335,46.603354
81,Henry Antchouet,Gabon,Football (soccer),cocaine,/wiki/Henry_Antchouet,1979-08-02,11.6899699,-0.8999695
82,Kristina Antoniychuk,Ukraine,Tennis,furosemide,/wiki/Kristina_Antoniychuk,1990-09-04,31.2718321,49.4871968
83,Toppo Anupdeo,India,Weightlifting,methylhexamine,/w/index.php?title=Toppo_Anupdeo&action=edit&redlink=1,,78.6677428,22.3511148
84,Abdallah Anwar,United States,Boccia,hydrochlorothiazide,/w/index.php?title=Abdallah_Anwar&action=edit&redlink=1,,,
85,Atif Anwar Ali,Pakistan,Bodybuilding,,/w/index.php?title=Atif_Anwar_Ali&action=edit&redlink=1,,71.247499,30.3308401
86,Adam Anzorov,Russia,Wrestling,,/w/index.php?title=Adam_Anzorov&action=edit&redlink=1,,97.7453061,64.6863136
87,Bijiya Arabam,India,Weightlifting,metandienone,/w/index.php?title=Bijiya_Arabam&action=edit&redlink=1,,78.6677428,22.3511148
88,Anos Armak,Iran,Weightlifting,metandienone,/w/index.php?title=Anos_Armak&action=edit&redlink=1,,54.5643516,32.6475314
89,Andrei Aramnau,Belarus,Weightlifting,synthetic cannabinoid,/wiki/Andrei_Aramnau,1988-04-17,27.6971358,53.4250605
90,Ibrahim Arat,Turkey,Weightlifting,hydroxystanozolol,/wiki/Ibrahim_Arat,1988-12-02,34.9249653,38.9597594
91,Lorena Araujo,Brazil,Swimming,stanozolol,/w/index.php?title=Lorena_Araujo&action=edit&redlink=1,,-53.2,-10.3333333
92,Fouodfi Arcangeline,Cameroon,Weightlifting,n-bisdesmethyl sibutramine,/w/index.php?title=Fouodfi_Arcangeline&action=edit&redlink=1,,13.1535811,4.6125522
93,Alexandros Aresti,Cyprus,Swimming,stanozolol,/wiki/Alexandros_Aresti,1983-03-11,33.1451285,34.9823018
94,Chris Armstrong,England,Football (soccer),cannabis,/wiki/Chris_Armstrong_(footballer_born_1971),1971-06-19,,
95,Lance Armstrong,United States,Cycling,"erythropoietin,human growth hormone,testosterone,cortisone,blood transfusions",/wiki/Lance_Armstrong,1971-09-18,,
96,Marco Antonio Arriagada Quinchel,Chile,Cycling,stanozolol,/wiki/Marco_Antonio_Arriagada_Quinchel,1975-10-30,-71.3187697,-31.7613365
97,Michael Arroyo,Ecuador,Football (soccer),cannabis,/wiki/Michael_Arroyo,1987-04-23,-79.3666965,-1.3397668
98,Silvia Artola,Nicaragua,Weightlifting,methylhexaneamine,/w/index.php?title=Silvia_Artola&action=edit&redlink=1,,-85.2936911,12.6090157
99,Kasem Asaad,Syria,Weightlifting,"methandriol,methyltestosterone",/w/index.php?title=Kasem_Asaad&action=edit&redlink=1,,39.0494106,34.6401861
100,Man Asaad,Syria,Weightlifting,metandienone,/wiki/Man_Asaad,1993-11-20,39.0494106,34.6401861
101,Yamba Asha,Angola,Football (soccer),,/wiki/Yamba_Asha,1976-07-31,17.5691241,-11.8775768
102,Mohammed Asif,Pakistan,Cricket,nandrolone,/wiki/Mohammad_Asif_(cricketer),1982-12-20,71.247499,30.3308401
103,Hasan Aslam,Pakistan,Weightlifting,,/w/index.php?title=Hasan_Aslam&action=edit&redlink=1,,71.247499,30.3308401
104,Nuno Assis,Portugal,Football (soccer),nandrolone,/wiki/Nuno_Assis,1977-11-25,-8.1353519,39.6621648
105,Igor Astarloa,Spain,Cycling,biological passport violation,/wiki/Igor_Astarloa,1976-03-29,-4.8379791,39.3260685
106,Mikel Astarloza,Spain,Cycling,erythropoietin,/wiki/Mikel_Astarloza,1979-11-17,-4.8379791,39.3260685
107,Ksenia Atamanskaya,Kazakhstan,Swimming,fenoterol,/w/index.php?title=Ksenia_Atamanskaya&action=edit&redlink=1,,66.7780818,48.1012954
108,Anna Athanasiadou,Greece,Weightlifting,"methyltrienolone,buprenorphine",/w/index.php?title=Anna_Athanasiadou&action=edit&redlink=1,,21.9877132,38.9953683
109,Mikhail Audzeyev,Belarus,Weightlifting,"boldenone,androsterone",/w/index.php?title=Mikhail_Audzeyev&action=edit&redlink=1,,27.6971358,53.4250605
110,Floren Augier,France,Swimming,"prednisone,prednisolone",/w/index.php?title=Floren_Augier&action=edit&redlink=1,,1.8883335,46.603354
111,Arthur Auray,France,Water polo,cocaine,/w/index.php?title=Arthur_Auray&action=edit&redlink=1,,1.8883335,46.603354
112,Michele Aureli,Italy,Water polo,betamethasone,/w/index.php?title=Michele_Aureli&action=edit&redlink=1,,12.674297,42.6384261
113,Niklas Axelsson,Sweden,Cycling,"epo  epo,testosterone",/wiki/Niklas_Axelsson,1972-05-15,14.5208584,59.6749712
114,Murat Aygün,Netherlands,Kickboxing,metandienone,/wiki/Murat_Ayg%C3%BCn,1988-12-13,5.541246849406163,52.24764975
115,Laura Azevedo,Brazil,Swimming,anabolic steroids,/w/index.php?title=Laura_Azevedo&action=edit&redlink=1,,-53.2,-10.3333333
116,Tariq Aziz,Pakistan,Field hockey,cannabis,/w/index.php?title=Tariq_Aziz_(2000s_field_hockey)&action=edit&redlink=1,,71.247499,30.3308401
117,Villalobos Azofeifa,Costa Rica,Cycling,gw501516,/w/index.php?title=Villalobos_Azofeifa&action=edit&redlink=1,,,
118,Ahmed Abdelwahed,Italy,Athletics,meldonium,/wiki/Ahmed_Abdelwahed,1996-05-26,12.674297,42.6384261
119,Christopher Bach,France,Swimming,prednisone,/w/index.php?title=Christopher_Bach&action=edit&redlink=1,,1.8883335,46.603354
120,Jonathan Bachini,Italy,Football (soccer),cocaine,/wiki/Jonathan_Bachini,1975-06-05,12.674297,42.6384261
121,Nicklas Bäckström,Sweden,Ice hockey,pseudoephedrine,/wiki/Nicklas_B%C3%A4ckstr%C3%B6m,1987-11-23,14.5208584,59.6749712
122,Cezar Badita,Romania,Swimming,nandrolone,/wiki/Cezar_Badita,1979-04-12,24.6859225,45.9852129
123,Ron Baensch,Australia,Cycling,ephedrine,/wiki/Ron_Baensch,1939-06-05,134.755,-24.7761086
124,Nathan Baggaley,Australia,Kayaking,"stanozolol,methandienone",/wiki/Nathan_Baggaley,1975-12-06,134.755,-24.7761086
125,Sarah Baham,United States,Swimming,refusal to submit to doping test,/w/index.php?title=Sarah_Baham&action=edit&redlink=1,,,
126,Tzuche Bakam,Cameroon,Weightlifting,"boldenone,androsterone",/w/index.php?title=Tzuche_Bakam&action=edit&redlink=1,,13.1535811,4.6125522
127,Erwin Bakker,Netherlands,Cycling,erythropoietin,/w/index.php?title=Erwin_Bakker&action=edit&redlink=1,,5.541246849406163,52.24764975
128,Yesenia Baldera Peguero,Dominican Republic,Weightlifting,"stanozolol,hydroxystanozolol",/w/index.php?title=Yesenia_Baldera_Peguero&action=edit&redlink=1,,,
129,Singh Baljit,India,Weightlifting,,/w/index.php?title=Singh_Baljit&action=edit&redlink=1,,78.6677428,22.3511148
130,Daniela Balzan Leal,Venezuela,Weightlifting,boldenone,/w/index.php?title=Daniela_Balzan_Leal&action=edit&redlink=1,,-66.1109318,8.0018709
131,Michael Banbula,United Kingdom,Boxing,testosterone,/w/index.php?title=Michael_Banbula&action=edit&redlink=1,,,
132,Roberto Barbaro,Italy,Water polo,norandrosterone,/w/index.php?title=Roberto_Barbaro&action=edit&redlink=1,,12.674297,42.6384261
133,Henrique Barbosa,Brazil,Swimming,furosemide,/wiki/Henrique_Barbosa,1984-07-05,-53.2,-10.3333333
134,Josh Barnett,United States,Mixed martial arts,boldenone,/wiki/Josh_Barnett,1977-11-10,,
135,Phil Baroni,United States,Mixed martial arts,"boldenone,stanozolol metabolites",/wiki/Phil_Baroni,1976-04-16,,
136,Vargas Barrantes,Costa Rica,Cycling,gw501516,/w/index.php?title=Vargas_Barrantes&action=edit&redlink=1,,,
137,Ryan Barrett,United Kingdom,Boxing,methylhexaneamine,/wiki/Ryan_Barrett,1982-12-27,,
138,Yarelys Barrios,Cuba,Athletics,acetazolamide,/wiki/Yarelys_Barrios,1983-07-12,-80.8328748,23.0131338
139,Kévin Barrois,France,Swimming,"cannabis,prednisone,prednisolone",/w/index.php?title=K%C3%A9vin_Barrois&action=edit&redlink=1,,1.8883335,46.603354
140,Doug Barron,United States,Golf,performance enhancing drugs,/w/index.php?title=Doug_Barron_(golfer)&action=edit&redlink=1,,,
141,Karapet Barseghyan,Armenia,Weightlifting,stanozolol,/w/index.php?title=Karapet_Barseghyan&action=edit&redlink=1,,44.6736646,40.7696272
142,Julyana Bassi Kury,Brazil,Swimming,stanozolol,/w/index.php?title=Julyana_Bassi_Kury&action=edit&redlink=1,,-53.2,-10.3333333
143,Ivan Basso,Italy,Cycling,operación puerto doping case,/wiki/Ivan_Basso,1977-11-26,12.674297,42.6384261
144,Marta Bastianelli,Italy,Cycling,fenfluramine,/wiki/Marta_Bastianelli,1987-04-30,12.674297,42.6384261
145,Xavier Batista,Dominican Republic,Baseball,,/wiki/Xavier_Batista,1992-01-18,,
146,Vicky Batta,India,Weightlifting,metandienone,/wiki/Vicky_Batta,,78.6677428,22.3511148
147,Grégory Baugé,France,Cycling,drug-testing violations,/wiki/Gr%C3%A9gory_Baug%C3%A9,1985-01-31,1.8883335,46.603354
148,Alain Baxter,United Kingdom,Alpine skiing,methamphetamine,/wiki/Alain_Baxter,1973-12-26,,
149,Fatih Baydar,Turkey,Weightlifting,hydroxystanozolol,/wiki/Fatih_Baydar,1983-11-25,34.9249653,38.9597594
150,Jack Beaton,Australia,Swimming,blood doping,/wiki/Jack_Beaton,1914-01-02,134.755,-24.7761086
151,Karol Beck,Slovakia,Tennis,clenbuterol,/wiki/Karol_Beck,1982-04-03,19.4528646,48.7411522
152,Diane Becker,Brazil,Swimming,stanozolol,/w/index.php?title=Diane_Becker&action=edit&redlink=1,,-53.2,-10.3333333
153,Rutker Beke,Belgium,Triathlon,epo,/w/index.php?title=Rutker_Beke&action=edit&redlink=1,,4.6667145,50.6402809
154,Vitor Belfort,Brazil,Mixed martial arts,4-hydroxytestosterone,/wiki/Vitor_Belfort,1977-04-01,-53.2,-10.3333333
155,Joseph Belinga,Cameroon,Weightlifting,n-bisdesmethyl sibutramine,/w/index.php?title=Joseph_Belinga&action=edit&redlink=1,,13.1535811,4.6125522
156,C.G. Carmen Bellorin,Venezuela,Weightlifting,metandienone,/w/index.php?title=C.G._Carmen_Bellorin&action=edit&redlink=1,,-66.1109318,8.0018709
157,Manuel Beltrán,Spain,Cycling,erythropoietin,/wiki/Manuel_Beltr%C3%A1n,1971-05-28,-4.8379791,39.3260685
158,Barbara Benke,Brazil,Swimming,isometheptene,/w/index.php?title=Barbara_Benke&action=edit&redlink=1,,-53.2,-10.3333333
159,Jamal Ben Saddik,Morocco,Kickboxing,,/wiki/Jamal_Ben_Saddik,1990-10-03,-7.3362482,31.1728205
160,Saido Berahino,Burundi,Football (soccer),mdma,/wiki/Saido_Berahino,1993-08-04,29.9324519,-3.426449
161,Bryan Berard,United States,Ice hockey,19-norandrosterone,/wiki/Bryan_Berard,1977-03-05,,
162,Virginia Berasategui,Spain,Triathlon,erythropoietin,/wiki/Virginia_Berasategui,1975-07-15,-4.8379791,39.3260685
163,Maxime Beretta,France,Diving,cannabis,/w/index.php?title=Maxime_Beretta&action=edit&redlink=1,,1.8883335,46.603354
164,Elena Berezhnaya,Russia,Figure skating,pseudoephedrine,/wiki/Elena_Berezhnaya,1977-10-11,97.7453061,64.6863136
165,Adam Bergman,United States,Cycling,erythropoietin,/wiki/Adam_Bergman,,,
166,Lorenzo Bernucci,Italy,Cycling,sibutramine,/wiki/Lorenzo_Bernucci,1979-09-15,12.674297,42.6384261
167,Dale Berra,United States,Baseball,cocaine,/wiki/Dale_Berra,1956-12-13,,
168,Carlo Bertoncelli,Italy,Swimming,finasteride,/w/index.php?title=Carlo_Bertoncelli&action=edit&redlink=1,,12.674297,42.6384261
169,Eugeni Berzin,Russia,Cycling,blood doping,/wiki/Eugeni_Berzin,1970-06-03,97.7453061,64.6863136
170,Rafael Betancourt,Venezuela,Baseball,anabolic steroids,/wiki/Rafael_Betancourt,1975-04-29,-66.1109318,8.0018709
171,Christina Bethani,Greece,Swimming,acetazolamide,/w/index.php?title=Christina_Bethani&action=edit&redlink=1,,21.9877132,38.9953683
172,PJ Bevis,Australia,Baseball,,/wiki/PJ_Bevis,1980-07-28,134.755,-24.7761086
173,Muhammad Bhatti,Pakistan,Weightlifting,metandienone,/w/index.php?title=Muhammad_Bhatti&action=edit&redlink=1,,71.247499,30.3308401
174,Ildara Bilyaletdinov,Russia,Wrestling,,/w/index.php?title=Ildara_Bilyaletdinov&action=edit&redlink=1,,97.7453061,64.6863136
175,Yusoff Binti,Morocco,Weightlifting,drostnolone,/w/index.php?title=Yusoff_Binti&action=edit&redlink=1,,-7.3362482,31.1728205
176,Rod Bitz,Canada,Wheelchair rugby,methylhexaneamine,/w/index.php?title=Rod_Bitz&action=edit&redlink=1,,-107.991707,61.0666922
177,Pierre Blanchard,France,Water polo,"prednisone,prednisolone",/wiki/Pierre_Blanchard,1945-01-14,1.8883335,46.603354
178,Yohan Blanchet,France,Water polo,cannabis,/w/index.php?title=Yohan_Blanchet&action=edit&redlink=1,,1.8883335,46.603354
179,Alberto Blanco,Cuba,Weightlifting,anabolic steroids,/wiki/Alberto_Blanco_(weightlifter),1950-02-17,-80.8328748,23.0131338
180,Manuele Blasi,Italy,Football (soccer),nandrolone,/wiki/Manuele_Blasi,1980-08-17,12.674297,42.6384261
181,Aikaterini Bliamou,Greece,Swimming,nandrolone,/wiki/Aikaterini_Bliamou,1982-10-15,21.9877132,38.9953683
182,Jamie Bloem,Australia,"Rugby league, rugby union",nandrolone,/wiki/Jamie_Bloem,1971-05-26,134.755,-24.7761086
183,Nickolay Bocharov,Russia,Swimming,nandrolone,/w/index.php?title=Nickolay_Bocharov&action=edit&redlink=1,,97.7453061,64.6863136
184,Mickael Bodegas,France,Water polo,cannabis,/w/index.php?title=Mickael_Bodegas&action=edit&redlink=1,,1.8883335,46.603354
185,Alexander Bodyakin,Russia,Swimming,furosemide,/w/index.php?title=Alexander_Bodyakin&action=edit&redlink=1,,97.7453061,64.6863136
186,Plamen Boev,Bulgaria,Weightlifting,norandrosterone,/w/index.php?title=Plamen_Boev&action=edit&redlink=1,,25.4856617,42.6073975
187,Galabin Boevski,Bulgaria,Weightlifting,tampering with test,/wiki/Galabin_Boevski,1974-12-19,25.4856617,42.6073975
188,Alex Bogomolov Jr.,United States,Tennis,salbutamol,/wiki/Alex_Bogomolov_Jr.,1983-04-23,,
189,Peter Bol,Australia,Athletics,erythropoietin,/wiki/Peter_Bol_(runner),1994-02-22,134.755,-24.7761086
190,Udo Bölts,Germany,Cycling,erythropoietin,/wiki/Udo_B%C3%B6lts,1966-08-10,10.4478313,51.1638175
191,Barry Bonds,United States,Baseball,amphetamines,/wiki/Barry_Bonds,1964-07-24,,
192,Stephan Bonnar,United States,Mixed martial arts,boldenone,/wiki/Stephan_Bonnar,1977-04-04,,
193,Michael Boogerd,Netherlands,Cycling,"blood doping,cortisone,epo,",/wiki/Michael_Boogerd,1972-05-28,5.541246849406163,52.24764975
194,Tom Boonen,Belgium,Cycling,cocaine,/wiki/Tom_Boonen,1980-10-15,4.6667145,50.6402809
195,Liliana Borbon,Mexico,Weightlifting,,/w/index.php?title=Liliana_Borbon&action=edit&redlink=1,,-102.0077097,23.6585116
196,Marco Borriello,Italy,Football (soccer),prednisolone,/wiki/Marco_Borriello,1982-06-18,12.674297,42.6384261
197,Mark Bosnich,Australia,Football (soccer),cocaine,/wiki/Mark_Bosnich,1972-01-13,134.755,-24.7761086
198,David Boston,United States,American football,gamma-hydroxybutyric acid,/wiki/David_Boston,1978-08-19,,
199,Ian Botham,United Kingdom,Cricket,cannabis,/wiki/Ian_Botham,1955-11-24,,
200,Igor Bour,Moldova,Weightlifting,metandienone,/wiki/Igor_Bour,1984-12-18,28.5670941,47.2879608
201,Djamel Bouras,France,Judo,nandrolone,/wiki/Djamel_Bouras,1971-08-21,1.8883335,46.603354
202,Frederick Bousquet,France,Swimming,heptaminol,/wiki/Frederick_Bousquet,1981-04-08,1.8883335,46.603354
203,Lee Bowyer,England,Football (soccer),cannabis,/wiki/Lee_Bowyer,1977-01-03,,
204,Plezhanov Boyan,Belarus,Weightlifting,metandienone,/w/index.php?title=Plezhanov_Boyan&action=edit&redlink=1,,27.6971358,53.4250605
205,Dmitry Boyko,Russia,Snowboarding,,/w/index.php?title=Dmitry_Boyko&action=edit&redlink=1,,97.7453061,64.6863136
